host,scriptName,remoteScriptPath,Node_type,timeout,output
sc2,AXM_FT_EAC_GUI_BOUND_EAC_EGI_CONFIG_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_GUI_BOUND_EAC_SB_ADM_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_GUI_BOUND_EAC_ESI_CONFIG_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_AplocDisc_EHIP_BSC_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_Connection_EH_Parmater_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_Connection_Node_with_sessioonID_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_EAW_CommandResponseAuth_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_ESI_Config_GetNeParameter_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAC_ESI_Config_Help_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESI_ListAvailableNE_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESI_ListNEType_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_ListSessionStatus_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_ProcessList_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_ESM_SessionTermination_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_esm_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_sb_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_eac_tf_id_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_PORT_nrma_server_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAC_Start_Stop_Order_Sequence_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_AutoSuspend_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ConnectIdleTimeout_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_Aploc_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_NoApio_EHIP_BSC_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_EventLogging_EHIP_T_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_IDL_InitiatorKill_ONE_NODE_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_IDL_ONE_NODE_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ImResp_Buffer_EHIP_T.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ImResp_RespType_EHIP_ST_REAL_NODE_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_EAM_ListFiles_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_NE_password_change_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAM_NotAcceptedResponse_EHIP_T.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_Process_Manager_MC_FileExistence_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_SpontReportReception_EHIP_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_Node_Connection_problem_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_Verify_mml_cmd_resp_in_sybase_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_Verify_mml_commands_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_Verify_the_crontab_entry_after_inst_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_Verify_the_default_value_of_port_for_protocols_ALL.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_Verify_the_eam_initiator_conf_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_Verify_the_prompt_of_Config_mode_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_Verify_the_prompt_of_exec_mode_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_eac_esi_map_file_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_verify_the_PortNumber_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_Verify_characteristics_of_a_APG43Lnode_BSCL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_EAC_ESM_SessionInformation_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_EHIP_Specific_AplocDisc_EHIP_BSC_BSCW.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,Run_MML_command_via_APMode_ALL.pl,/home/nmsadm/script/,BSC_LINUX,400,PASS
sc2,AXM_FT_EAM_Exchangeheader_EHIP_BSCW_md.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAC_GUI_BOUND_EAC_ESM_INFO_NO_NODE.pl,/home/nmsadm/script/,NO_NODE,400,PASS
sc2,AXM_FT_EAM_CSL_MSCBCW.pl,/home/nmsadm/script/,MSCBC,400,PASS
sc2,AXM_FT_EAM_APG43_Exchange_Header_Parameter_Mode_MSCBCW.pl,/home/nmsadm/script/,MSCBC,400,PASS
sc2,AXM_FT_Verify_the_mml_commands_on_blade_level_one_MSCBCW.pl,/home/nmsadm/script/,MSCBC,400,PASS
sc2,AXM_FT_EAM_APG43_Exchange_Header_Parameter_MSCBCW.pl,/home/nmsadm/script/,MSCBC,400,PASS
sc2,AXM_FT_EAM_APG43_MSS_BC_PDB_Map_MSCBCW.pl,/home/nmsadm/script/,MSCBC,400,PASS
sc2,AXM_FT_Verify_the_domain_length.pl,/home/nmsadm/script/,ALL_NODES,400,PASS
sc2,AXM_FT_EAM_CaseConversion_EHIP.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_NtCommands_EHIP.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_OnlineHelp_EHIP.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_ReturnPrintoutTitle_EHIP.pl,/home/nmsadm/script/,BSC,400,PASS
sc2,AXM_FT_EAM_LongMMLCommand_EHIP.pl,/home/nmsadm/script/,BSC,400,PASS
